 category_name , category_name_ar ,,customs,tax_aqaba,tax_amm,margin_amm,margin_aqaba,special_tax,us_tax,cap_aqaba,cap_amm, min_side_length 
 Brooms and brushes ,????? ???????," {""category_name"" : ""Brooms and brushes"",""category_name_ar"" : ""????? ???????""}, ",0.35,0.00,0.16,0.08,0.09,0.00,0.00,999.00,999.00, 1.00 
 Cables/Adapters , ?????  ," {""category_name"" : ""Cables/Adapters"",""category_name_ar"" : ""????? ""}, ",0.35,0.00,0.16,0.08,0.09,0.00,0.00,999.00,999.00, 1.00 
 Camera Digital , ?????? ????? ," {""category_name"" : ""Camera Digital"",""category_name_ar"" : ""?????? ?????""}, ",0.00,0.07,0.16,0.10,0.10,0.00,0.00,999.00,999.00, 1.00 
 Camera for documents , ?????? ??????? ," {""category_name"" : ""Camera for documents"",""category_name_ar"" : ""?????? ???????""}, ",0.15,0.00,0.16,0.09,0.10,0.00,0.00,999.00,999.00, 1.00 
 Camera Lens , ???? ?????? ," {""category_name"" : ""Camera Lens"",""category_name_ar"" : ""???? ??????""}, ",0.35,0.00,0.16,0.08,0.09,0.00,0.00,999.00,999.00, 1.00 
 Capacitor (Fixed) , ???????? ??????? ," {""category_name"" : ""Capacitor (Fixed)"",""category_name_ar"" : ""???????? ???????""}, ",0.00,0.00,0.16,0.10,0.10,0.00,0.00,999.00,999.00, 1.00 
 Carpets , ???? ," {""category_name"" : ""Carpets"",""category_name_ar"" : ""????""}, ",0.25,0.00,0.16,0.09,0.10,0.00,0.00,999.00,999.00, 1.00 
 Carrying Case , ????? ," {""category_name"" : ""Carrying Case"",""category_name_ar"" : ""?????""}, ",0.35,0.00,0.16,0.08,0.09,0.00,0.00,999.00,999.00, 4.00 
 Charger , ???? ," {""category_name"" : ""Charger"",""category_name_ar"" : ""????""}, ",0.00,0.00,0.16,0.10,0.10,0.00,0.00,999.00,999.00, 1.00 
 Cleaning Agents/Detergents , ?????? ," {""category_name"" : ""Cleaning Agents/Detergents"",""category_name_ar"" : ""??????""}, ",0.12,0.00,0.16,0.09,0.10,0.00,0.00,999.00,999.00, 1.00 
 Clothing , ????? ," {""category_name"" : ""Clothing"",""category_name_ar"" : ""?????""}, ",0.25,0.00,0.16,0.08,0.09,0.00,0.00,999.00,1.18, 1.00 
" Clothing accessories  Leather gloves, mittens and mitts) ", ? ????? ????? ?  ???????? ??????? ," {""category_name"" : ""Clothing accessories  Leather gloves, mittens and mitts)"",""category_name_ar"" : ""? ????? ????? ?  ???????? ???????""}, ",0.35,0.00,0.16,0.08,0.09,0.00,0.00,999.00,1.35, 1.00 
 Clothing Dresses or Suits , ????? ??????? ???????? ," {""category_name"" : ""Clothing Dresses or Suits"",""category_name_ar"" : ""????? ??????? ????????""}, ",0.25,0.07,0.16,0.08,0.09,0.00,0.00,999.00,1.35, 1.00 
 Computer Card ,? ????? ?????? ?????? ???????? ??????? ?? ????????," {""category_name"" : ""Computer Card"",""category_name_ar"" : ""? ????? ?????? ?????? ???????? ??????? ?? ????????""}, ",0.00,0.00,0.16,0.10,0.10,0.00,0.00,999.00,999.00, 1.00 
 Computer Case No power Supply  , ????? ??????? ???? ???? ???????? ," {""category_name"" : ""Computer Case No power Supply "",""category_name_ar"" : ""????? ??????? ???? ???? ????????""}, ",0.35,0.00,0.16,0.08,0.09,0.00,0.00,999.00,999.00, 10.00 
 Computer Case With power Supply  , ????? ??????? ?? ???? ???????? ," {""category_name"" : ""Computer Case With power Supply "",""category_name_ar"" : ""????? ??????? ?? ???? ????????""}, ",0.00,0.00,0.16,0.10,0.10,0.00,0.00,999.00,999.00, 10.00 
 Computer Fan  , ????? ???????  ," {""category_name"" : ""Computer Fan "",""category_name_ar"" : ""????? ??????? ""}, ",0.00,0.00,0.16,0.10,0.10,0.00,0.00,999.00,999.00, 1.00 
 Computer Parts , ??? ??????? ," {""category_name"" : ""Computer Parts"",""category_name_ar"" : ""??? ???????""}, ",0.00,0.00,0.16,0.10,0.10,0.00,0.00,999.00,999.00, 1.00 
 Computer Replacement Parts , ???  ???? ??????? ," {""category_name"" : ""Computer Replacement Parts"",""category_name_ar"" : ""???  ???? ???????""}, ",0.35,0.00,0.16,0.08,0.09,0.00,0.00,999.00,999.00, 1.00 
 converters (Static) , ?????? ?????? ????? ," {""category_name"" : ""converters (Static)"",""category_name_ar"" : ""?????? ?????? ?????""}, ",0.25,0.00,0.16,0.09,0.10,0.00,0.00,999.00,999.00, 1.00 
 cosmetics or toilet preparations , ???? ??????? ?? ?????? ??????? ," {""category_name"" : ""cosmetics or toilet preparations"",""category_name_ar"" : ""???? ??????? ?? ?????? ???????""}, ",0.12,0.07,0.16,0.16,0.16,0.05,0.00,999.00,999.00, 1.00 
 Cover , ??? ," {""category_name"" : ""Cover"",""category_name_ar"" : ""???""}, ",0.35,0.00,0.16,0.08,0.09,0.00,0.00,999.00,1.37, 1.00 
 CPU/Processor ,? ????? ?????? ?????? ???????? ??????? ?? ????????," {""category_name"" : ""CPU/Processor"",""category_name_ar"" : ""? ????? ?????? ?????? ???????? ??????? ?? ????????""}, ",0.00,0.00,0.16,0.10,0.10,0.00,0.00,999.00,999.00, 3.00 
 Dental Care , ??????? ???????? ," {""category_name"" : ""Dental Care"",""category_name_ar"" : ""??????? ????????""}, ",0.12,0.00,0.16,0.09,0.10,0.00,0.00,999.00,999.00, 1.00 
" Drilling, threading or tapping tools ",? ????? ???? ??????," {""category_name"" : ""Drilling, threading or tapping tools"",""category_name_ar"" : ""? ????? ???? ??????""}, ",0.15,0.00,0.16,0.09,0.10,0.00,0.00,999.00,999.00, 1.00 
 Electric Applieances , ??????? ?????????? ," {""category_name"" : ""Electric Applieances"",""category_name_ar"" : ""??????? ??????????""}, ",0.35,0.07,0.16,0.08,0.09,0.00,0.00,999.00,999.00, 1.00 
 Electric Scooter , ???????????? ," {""category_name"" : ""Electric Scooter"",""category_name_ar"" : ""????????????""}, ",0.00,0.07,0.16,0.10,0.10,0.00,0.00,999.00,999.00, 1.00 
